individual_1 individual_2 pedigree.relationship pedigree.degree kin kin0 ibs0 ibs1 ibs2 ibs02 ibs12 ibs01 j1 j2 j3 j4 j5 j6 j7 j8 j9
Test1_g3-b1-i1 Test1_g4-b1-i30 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i28 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i14 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-s1 Test1_g4-b1-i5 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i36 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g3-b16-i1 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i50 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g3-b1-i1 Test1_g4-b1-i8 PO 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-s1 Test1_g3-b12-i1 GP 0.125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s1 Test1_g4-b1-i31 GP 0.125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-i1 Test1_g3-b27-i1 GP 0.125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
